episode,env_step,return,length
0,200,-1071.9307048996711,200
1,400,-1508.1563816791627,200
2,600,-1264.817177206974,200
3,800,-975.6967559825594,200
4,1000,-972.1087893349505,200
5,1200,-1327.7853393614757,200
6,1400,-1076.2731983973342,200
7,1600,-122.8573959325806,200
8,1800,-236.97096857465831,200
9,2000,-124.06297984527032,200
10,2200,-343.35180909734805,200
11,2400,-123.0282750396191,200
12,2600,-126.73782047797833,200
13,2800,-339.1601949101717,200
14,3000,-122.18119937175531,200
15,3200,-122.18959281542105,200
16,3400,-249.6818028986451,200
17,3600,-2.7560967723139824,200
18,3800,-2.0472857727442206,200
19,4000,-249.68211510521613,200
20,4200,-3.708680422277074,200
21,4400,-125.41417906907951,200
22,4600,-127.36236651743528,200
23,4800,-121.99112251558756,200
24,5000,-242.91919563477856,200
25,5200,-120.59461607704992,200
26,5400,-243.055768383961,200
27,5600,-122.94036446477838,200
28,5800,-2.9229618641921764,200
29,6000,-118.87383271661264,200
30,6200,-125.79091211518666,200
31,6400,-238.01501747386638,200
32,6600,-123.94958106565831,200
33,6800,-128.77292524050523,200
34,7000,-124.25558307076726,200
35,7200,-123.85110048091974,200
36,7400,-3.7896494877074494,200
37,7600,-2.692282008447443,200
38,7800,-124.70815363207662,200
39,8000,-245.6383192914149,200
40,8200,-121.16620678467493,200
41,8400,-3.2072293917621617,200
42,8600,-129.64368706995344,200
43,8800,-122.5914535280004,200
44,9000,-244.24207954118805,200
45,9200,-231.77404599473448,200
46,9400,-369.51527299702934,200
47,9600,-230.9954318141458,200
48,9800,-257.68879371621904,200
49,10000,-230.90316881827079,200
50,10200,-2.163403553456763,200
51,10400,-114.92410166944939,200
52,10600,-123.67631465689587,200
53,10800,-2.3855454691902036,200
54,11000,-247.22994984965575,200
55,11200,-127.91346543211331,200
56,11400,-122.05314638645027,200
57,11600,-117.76930608596506,200
58,11800,-250.5905150181742,200
59,12000,-126.36305549165971,200
60,12200,-124.51227653640602,200
61,12400,-244.41793179611136,200
62,12600,-120.5259410060563,200
63,12800,-239.04287972271064,200
64,13000,-230.1886292102107,200
65,13200,-125.67604205265215,200
66,13400,-117.291070216735,200
67,13600,-121.54096744968786,200
68,13800,-116.70050954592638,200
69,14000,-249.58306321594273,200
70,14200,-3.045691879060987,200
71,14400,-247.1006577621,200
72,14600,-4.683694890067614,200
73,14800,-248.8941345698154,200
74,15000,-3.787719003631017,200
75,15200,-337.0942967334504,200
76,15400,-237.19644070384865,200
77,15600,-122.28744620998518,200
78,15800,-253.52176119906372,200
79,16000,-240.0479880085487,200
80,16200,-126.9954218298105,200
81,16400,-1.5165460197374712,200
82,16600,-118.8689064376546,200
83,16800,-124.26995235879727,200
84,17000,-232.02203435274566,200
85,17200,-125.76200921064576,200
86,17400,-121.07753788986773,200
87,17600,-228.58434023523705,200
88,17800,-122.30431497589184,200
89,18000,-233.44371785294476,200
90,18200,-237.61412077334074,200
91,18400,-234.13593393886757,200
92,18600,-122.37518265620345,200
93,18800,-128.61393874016147,200
94,19000,-127.9019306167534,200
95,19200,-124.32883643717872,200
96,19400,-1.5648562899283789,200
97,19600,-367.4503018760482,200
98,19800,-323.5533085014036,200
99,20000,-247.17144333207395,200
100,20200,-121.62461223782867,200
101,20400,-123.50787635876077,200
102,20600,-126.10505359643243,200
103,20800,-264.7178716597423,200
104,21000,-1.2836728009993257,200
105,21200,-121.28956528162874,200
106,21400,-241.11512499256858,200
107,21600,-231.7618566703096,200
108,21800,-232.38783472180836,200
109,22000,-233.27557406760724,200
110,22200,-246.6179491811229,200
111,22400,-225.00718951429417,200
112,22600,-229.39860277440323,200
113,22800,-1.3112022197565976,200
114,23000,-122.70359138512507,200
115,23200,-120.77634307885327,200
116,23400,-1.537342967366669,200
117,23600,-233.4932991932007,200
118,23800,-127.41288283018399,200
119,24000,-1.443739634394773,200
120,24200,-128.3670928270889,200
121,24400,-117.86733133061387,200
122,24600,-116.7061958046815,200
123,24800,-122.02837574828014,200
124,25000,-242.9216824560665,200
125,25200,-124.40608897217767,200
126,25400,-341.28304213717024,200
127,25600,-1.2331946707566588,200
128,25800,-234.80002598762223,200
129,26000,-119.40397306648354,200
130,26200,-118.94055132980517,200
131,26400,-119.9031127719265,200
132,26600,-123.93679006920345,200
133,26800,-1.8092769008546892,200
134,27000,-125.43152418066653,200
135,27200,-117.18673805400896,200
136,27400,-231.31622726427454,200
137,27600,-113.8228186529279,200
138,27800,-121.35621459566349,200
139,28000,-228.05710224771147,200
140,28200,-1.3293823170994903,200
141,28400,-236.13116651903184,200
142,28600,-227.69780108439457,200
143,28800,-121.6643780367565,200
144,29000,-2.7873009107613584,200
145,29200,-124.94792232873291,200
146,29400,-1.401299307193017,200
147,29600,-128.89192069843818,200
148,29800,-236.69704186363984,200
149,30000,-120.03617365764413,200
